GLAUX_TEXT_ID	TLG	STARTDATA	ENDDATE	AUTHOR_STANDARD	TITLE_STANDARD	GENRE_STANDARD	DIALECT	SOURCE	SOURCE_LICENSE	SOURCE_FORMAT	TOKENS	TM_TEXT	AUTHOR_STANDARD	TITLE_STANDARD
1	0012-001	-800	-701	Homerus	Ilias	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	129604	511	Homer	Iliad
2	0012-002	-800	-701	Homerus	Odyssea	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	104364	512	Homer	Odyssey
3	0012-003	-800	-701	Homerus	Epigrammata	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	26	12612	Homer	Epigrams
4	1351-001	-800	-701	Epigoni	Epigoni	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	60	13805 / 15768	Epigoni	Epigoni
5	1547-001	-800	-701	Oedipodea	Oedipodea	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	15	12913	Oedipodea	Oedipodea
6	1712-001	-800	-701	Thebaïs	Thebaïs	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	157	13811	Thebaid	Thebaid
7	0298-001	-800	-601	Eumelus	Fragmentum	Lyric poetry	Ionic/Epic	http://remacle.org	NA	TXT	14	2272	Eumelus	Fragment
9	0020-001	-800	-601	Hesiodus	Theogonia	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	8101	513	Hesiod	Theogony
10	0020-002	-800	-601	Hesiodus	Opera et dies	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	6954	796	Hesiod	Works and Days
11	0020-003	-800	-601	Hesiodus	Scutum	Epic poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	3834	1341	Hesiod	Shield
12	0020-004	-800	-601	Hesiodus	Fragmenta	Epic poetry	Ionic/Epic	https://www.hs-augsburg.de/~harsch/augustana.html	NA	TXT	9107	794 / 795 / 1915	Hesiod	Fragments
13	0020-006	-800	-601	Hesiodus	Fragmenta astronomica	Scientific Poetry	Ionic/Epic	https://en.wikisource.org	CC-BY-SA 3.0	TXT	38	15962	Hesiod	Astronomical Fragments
14	0020-007	-800	-601	Hesiodus	Fragmenta	Epic poetry	Ionic/Epic	https://www.hs-augsburg.de/~harsch/augustana.html	NA	TXT	513	1915	Hesiod	Fragments
15	0020-008	-800	-601	Hesiodus	Fragmentum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	TXT	7	1915	Hesiod	Fragment
18	0232-002	-700	-601	Archilochus	Fragmenta lyrica	Lyric poetry	Ionic/Epic	http://aoidoi.org	NA	TXT	319	2188	Archilochus	Lyric Fragments
19	0232-003	-700	-601	Archilochus	Epigrammata	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	26	12604	Archilochus	Epigrams
22	1296-001	-700	-601	Cypria	Cypria	Epic poetry	Ionic/Epic	First1K	CC BY-SA 4.0	XML	412	2817 / 14457	Cypria	Cypria
23	1444-001	-700	-601	Ilias Parva	Ilias parva	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	390	1407	Little Iliad	Little Iliad
24	1445-001	-700	-601	Iliu Persis	Iliu persis	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	96	13807	Sack of Ilium	Sack of Ilium
25	0013-001	-700	-601	Hymni Homerici	Fragmenta hymni in Bacchum	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	180	2304	Homeric Hymns	Fragments of the Hymn to Bacchus
26	0013-005	-700	-601	Hymni Homerici	In Venerem	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	2393	11435	Homeric Hymns	To Venus
27	0013-009	-700	-601	Hymni Homerici	In Dianam	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	67	11438	Homeric Hymns	To Diana
29	0255-002	-700	-601	Mimnermus	Epigramma	Lyric poetry	Ionic/Epic	Perseus	CC BY-SA 4.0	XML	17	12614	Mimnermus	Epigram
32	0299-001	-700	-601	Terpander	Fragmenta	Lyric poetry	Doric	https://archive.org/details/greekmelicpoets00smytuoft	NA	TXT	70	10428	Terpander	Fragments
33	1737-001	-700	-601	Titanomachia	Titanomachia	Epic poetry	Ionic/Epic	https://zenodo.org/record/437896	CC BY 4.0	TXT	125	13812	Titanomachia	Titanomachia
37	0696-002	-700	-501	Alcmaeonis	Alcmaeonis	Epic poetry	Ionic/Epic	https://sententiaeantiquae.com	NA	TXT	51	13797	Alcmaeonis	Alcmaeonis
