lemma	pos	def
Λονδίνη	name	Londinium; London
Λονδίνιον	name	Londinium; London
Λοπαδοῦσσα	name	Lampedusa (an island of the Mediterranean Sea, south of Sicily)
Λουκίλλιος	name	Lucilius; a member of the Roman Lucilia gens
Λουκερία	name	Luceria; Lucera, Italy
Λουκρήτιος	name	Lucretius
Λουκρητία	name	Lucretia
Λουκᾶ	name	genitive/vocative singular of Λουκᾶς (Loukâs)
Λουκᾶς	name	Luke, Lucas
Λουσοί	name	Lusi, Arcadia, Greece
Λουτάτιος	name	Lutatius; a member of the Roman Lutatia gens
Λούγδουνον	name	Lugdunum; Lyon, France
Λούκη	name	Luca; Lucca, Tuscany, Italy
Λούκιος	name	a male given name from Latin, feminine equivalent Λουκία (Loukía), equivalent to Latin Lūcius | Lūcius (regularly abbreviated L.) a common ancient Roman praenōmen shared by many male historical figures; used by both patrician and plebeian families, it gave rise to the patronymic gentēs Lūcia and Lūcilia, as well as the cognomen Lūcullus.
Λούσιος	name	Lusius
Λυδία	name	(historical) Lydia (a historical region and ancient kingdom in western Asia Minor, in modern-day Turkey)
Λυδίας	name	river Lydias; Mavroneri River, Greece
Λυδός	name	Lydus, legendary first king of Lydia
Λυδός	noun	an inhabitant of Lydia; a Lydian
Λυκάων	name	Lycaon
Λυκάων	noun	an inhabitant of Lycaonia; a Lycaonian
Λυκία	name	Lycia (a historical region in southwestern Asia Minor, in modern-day Turkey) | Lycia (a former province of the Roman Empire, existing on its own from 43 AD to 74 AD, and later as part of Lycia et Pamphylia)
Λυκίδας	name	Lycidas
Λυκίων	adj	all genders genitive plural of Λύκιος (Lúkios)
Λυκαβηττός	name	a hill in Athens, mount Lycabettus
Λυκαονία	name	Lycaonia
Λυκομήδης	name	a male given name, Lycomedes
Λυκοῦργος	name	a male given name, equivalent to English Lycurgus | in particular, the legendary lawgiver of Sparta Lycurgus
Λυκόπολις	name	Asyut, Egypt
Λυκόφρων	name	a male given name, equivalent to English Lycophron
Λυρνησσός	name	Lyrnessus (a city in Mysia, Turkey)
Λυσίας	name	a male given name | Lysias, a fifth century BCE Athenian orator
Λυσίμαχος	name	a male given name, equivalent to English Lysimachus
Λυσίστρατος	name	a male given name, equivalent to English Lysistratus
Λυσιδίκη	name	a female given name: Lysidice (Greek mythology) Lysidice, the daughter of Pelops and Hippodamia
Λυσικλῆς	name	a male given name, equivalent to English Lysicles
Λυσιμάχεια	name	Lysimachia; Eksemil, Turkey
Λυσιστράτη	name	a female given name, Lysistrata
Λυσιτανία	name	Lusitania
Λυταῖος	adj	(demonym) from Λυταί (Lutaí), a place in Thessaly | (religion, as a proper noun, masculine) epithet of Poseidon in Thessaly
Λωΐς	name	(biblical) Lois
Λωτοφάγος	noun	one of the Lotophagi
Λόλλιος	name	Lollius
Λύγδαμις	name	A king of the Cimmerians | The father of Artemisia I of Caria | Lygdamis, tyrant of Naxos
Λύγκος	name	Lyncus
Λύδαι	name	Lydae, Lycia, Turkey
Λύδδα	name	Lydda; Lod, Israel
Λύκαστος	name	Lycastus, Crete, Greece
Λύκειον	name	Lyceum, a gymnasium in Athens at which Aristotle founded a philosophical school.
Λύκειος	adj	only used in Λύκειος Ἀπόλλων (Lúkeios Apóllōn). The meaning of this term is uncertain. Possibilities include: wolf-killing | only used in Λύκειος Ἀπόλλων (Lúkeios Apóllōn). The meaning of this term is uncertain. Possibilities include: Lycian | only used in Λύκειος Ἀπόλλων (Lúkeios Apóllōn). The meaning of this term is uncertain. Possibilities include: luminous
Λύκιος	adj	Lycian
Λύκιος	noun	a Lycian (native or inhabitant of ancient Lycia)
Λύκος	name	a male given name, Lycus, Lycos, or Lykos
Λύκτος	name	Lyctus, Crete, Greece
Λύσανδρος	name	a male given name, Lysander
Λύσιππος	name	a male given name, Lysippos or Lysippus
Λύσις	name	Lysis
Λύστρα	name	Lystra, Lycaonia, Turkey
Λώρυμα	name	Loryma, Caria, Turkey
Λᾶγος	name	Lagus, ancestor of the Ptolemaic dynasty
Λῃστάδαι	name	Lestadae, Naxos, Greece
Λῆγες	name	Legae, an ancient tribe which dwelt on the northern shore of the Caspian Sea
Λῆμνος	name	Lemnos
Λῖνος	name	a male given name, equivalent to English Linus
Λῷος	name	Loios, the name of a Macedonian month corresponding to July
ΜΕΡ	name	nomen sacrum form of μῆτερ (mêter)
ΜΗΡ	name	nomen sacrum form of μήτηρ (mḗtēr)
ΜΗΣ	name	nomen sacrum form of μητρός (mētrós)
ΜΡ	name	nomen sacrum form of μήτηρ (mḗtēr)
ΜΡΑ	name	nomen sacrum form of μητέρα (mētéra)
ΜΡΙ	name	nomen sacrum form of μητρί (mētrí)
ΜΡΣ	name	nomen sacrum form of μητρός (mētrós)
Μάγδωλος	name	Magdolus, Lower Egypt, Egypt
Μάγνης	noun	one of the Magnetes | an inhabitant of Magnesia; a Magnesian
Μάγος	noun	(common, nonspecific) magician, and derogatorily sorcerer, trickster, conjurer, charlatan | (common, specific) a Zoroastrian priest. Compare e.g. Herodotus Hist. 1.132f, Xenophon Cyropedia 8.3.11, Porphyry Life of Pythagoras 12, Heraclitus apud Clemens Protrepticus 12, etc. | (hapax legomenon) name of one of the tribes of the Medes. This usage is only attested once; Herodotus Histories 1.101.
Μάγων	name	Mago
Μάδυτος	name	Madytus; Eceabat, Turkey
Μάκαι	noun	Macae, a people of Libya
Μάκεχ	name	Mecca
Μάκιστος	name	an ancient city in Elis district | A mountain of Lesbos
Μάκρων	noun	one of the Macrones
Μάλλιος	name	Manlius; a member of the Roman Manlia gens
Μάλχος	name	a male given name, Malchus, from Hebrew
Μάνης	noun	Mani, Manes
Μάξιμος	name	a male given name from Latin
Μάξυες	name	Maxyes, a Libyan tribe mentioned by Herodotus
Μάρεια	name	Marea, Lake Mariout
Μάρθα	name	a female given name from Aramaic, typically translated as Martha
Μάριον	name	Marium, Cyprus
Μάρις	name	River Maris; Mureș (river), Romania
Μάρκελλος	name	a male given name from Latin, equivalent to English Marcellus
Μάρπησσα	name	Marpessa
Μάρτιος	name	(Koine) March
Μάρων	name	Maro
Μάσης	name	Mases, Argolis, Greece
Μάσταυρα	name	Mastaura, Lycia, Turkey
Μάχλυες	name	Machlyes, a Libyan tribe mentioned by Herodotus
Μάϊος	name	May
Μέγαιρα	name	(Greek mythology, Roman mythology) One of the Erinyes/Dirae, (Furies, the goddesses of envy and jealousy who induced to commit crimes, such as marital infidelity.
Μέγαρα	name	Megara, Megaris (a town in Attica, Greece)
Μέγαρα Ὑβλαῖα	name	Megara Hyblaea, an ancient Greek colony in Sicily, situated near Augusta. It took the adjective "hyblaea" after Hyblon, a Sicel leader, finally settled at a place afterwards called the "Hyblaean Megara", named after the goddess Hybla.
Μέγης	name	(Greek mythology) Meges, son of Phyleus and commander of the Epeii
Μέδουσα	name	(Greek mythology) Medusa | (rare) a female given name
Μέδων	name	Medon (son of Oīleus, stepbrother of Ajax)
Μέθανα	name	Methana (a city in Attica, Greece)
Μέλητος	name	Meletus
Μέλισσα	name	a female given name, equivalent to English Melissa
Μέμβλης	name	a river of Magna Graecia
Μέμμιος	name	Memmius
Μέμνων	name	Memnon
Μέμφις	name	Memphis, mythological founder of the city of Memphis | Memphis, an ancient city of Egypt
Μέναιχμος	name	a male given name, Menaechmus
Μένανδρος	name	a male given name, equivalent to English Menander | in particular, the comic playwright Menander
Μένδη	name	Mende, Chalcidice, Greece
Μένιππος	name	a male given name, equivalent to English Menippus | a Cynic satirist from Gadara of the 3rd century BCE
Μέντωρ	name	Mentor, a mythological figure | a male given name
Μένων	name	Meno
Μέρβαλος	name	Merbalus, a Phoenician man and son of Agbalus
Μέροψ	name	Merops
Μέσπιλα	name	Mespila; Mosul, Iraq
Μέσση	name	Messa, Laconia, Greece
Μέστριος	name	Mestrius
Μέταυρος	name	the river Metaurus; the river Metauro
Μέτειβοι	noun	Metibi, an ancient tribe of Sarmatia mentioned by Ptolemy
Μέτελλος	name	Metellus; one of the Roman Metelli
Μέτων	name	Meton
Μήδεια	name	Medea
Μήθυμνα	name	Methymna; Mithymna, Lesbos, Greece
Μήλιον	noun	(substantive) a Melian
Μήλιος	adj	of or relating to Milos; Melian
Μήλιος	noun	(substantive) a Melian
Μήν	name	a lunar deity from Anatolia
Μήνη	name	The Moon.
Μήνης	name	a male given name from Egyptian, of historical usage, notably borne by Menes, uniter of Upper and Lower Egypt and founder of the First Dynasty of Egypt
Μήσακος	name	a male given name from Old Persian, equivalent to English Mesacus
Μίδας	name	Midas
Μίδεια	name	Midea, Boeotia, Greece
Μίεζα	name	Mieza, Macedonia, Greece
Μίθρας	name	Greek name of the figures of various syncretic Helleno-Zoroastrian cults of Asia Minor (100 BC-200 AD)
Μίλητος	name	Miletus, an ancient city on the western coast of Anatolia.
Μίλων	name	Milo; Milon
Μίμας	name	a promontory and mountain range in Ionia, opposite Chios; modern Urla-Karaburun-Çeşme peninsula | (Greek mythology) the name of several figures in Greek mythology, including: a centaur | (Greek mythology) the name of several figures in Greek mythology, including: a giant | (Greek mythology) the name of several figures in Greek mythology, including: the grandfather of Aeolus
Μίνδαρος	name	Mindarus
Μίνως	name	(Greek mythology) Minos
Μαΐφαρνος	name	a male given name, Maipharnos, from Scythian, son of Theoteimos, ruler of Pontic Olbia
Μαίανδρος	name	the river Maeander; the river Büyük Menderes
Μαίναλον	name	Maenalus; Mainalo
Μαίων	noun	an inhabitant of Maeonia or Lydia; one of the Maeones; a Maeonian
Μαγδαλά	name	Magdala.
Μαγδαληνή	name	a surname of the biblical figure Mary Magdalene, typically interpreted as a toponym referencing Magdala, a city noted in the Talmud.
Μαγνησία	name	Magnesia, Thessaly, Greece | Magnesia in Asia Minor; Manisa, Turkey
Μαζάκης	name	a male given name, Mazaces, from Old Persian, last satrap of Egypt
Μαζάρης	name	a male given name, Mazares, from Old Persian, a Median general who defected to Cyrus the Great
Μαζαῖος	name	a male given name, Mazaeus, from Old Persian, a Persian nobleman and satrap of Babylon
Μαθουσάλα	name	(biblical) Methuselah
Μαιβουζάνης	name	a male given name, Maebuzanes, from Old Persian, prytanis of Comana and Sarus
Μαιδάτας	name	a male given name from Old Persianː Maedatas An Achaemenid cavalry commander | a male given name from Old Persianː Maedatas A magistrate of Anisa
Μαικήνας	name	Maecenas
Μαιμακτηριών	name	Maimacterion: the fifth month of the Attic calendar, corresponding to the lunar term around November and December
Μαιονία	name	Maeonia; Lydia
Μαιφέρνης	name	Maephernes, a name attested in coins from Phrygia
Μαιῶτις	name	(fully Μαιῶτῐς λῐ́μνη) Sea of Azov | (fully Μαιῶτῐς χώρᾱ) Pryazovia (the land around the Sea of Azov)
Μακάριος	name	a male given name
Μακάρων νῆσοι	name	Islands of the Blessed
Μακαρία	name	Macaria
Μακεδονία	name	Macedon, Macedonia (an ancient Greek kingdom in the north of the Greek peninsula)
Μακεδονικός	adj	of or relating to Macedon; Macedonian
Μακεδών	noun	an inhabitant of Macedonia; a Macedonian
Μακκαβαῖος	noun	(biblical) a Maccabee
Μαλάκη	name	Malaga (a port city in Andalusia, Spain)
Μαλέ	name	Malabar, Kerala
Μαλέα	name	Cape Malea, Greece
Μαλαχίας	name	(biblical) Malachi (prophet) | (biblical) Malachi (book of the Bible) | a male given name, equivalent to English Malachi
Μαλαώ	name	Malao; Berbera, Somalia
Μαλλός	name	Mallus, Cilicia, Turkey
Μανία	name	Mania
Μανασσῆς	name	Manasseh
Μανδάνη	name	Mandane
Μανδαῖος	noun	a Mandaean
Μανδόνιον	name	Mandonion; Manduria, Italy
Μανεθών	name	a male given name, Manetho, from Egyptian, an Egyptian priest at Sebennytus
Μανιχαϊκός	adj	Manichaic, Manichaean
Μανιχαϊσμός	noun	(Koine) Manichaism/Manichaeism
Μανιχαῖος	name	Manichaeus
Μανιχαῖος	noun	a Manichaean
Μαντίνεια	name	Mantinea; Mantineia
Μαντινεύς	noun	an inhabitant of Mantinea or Mantineia
Μαράκανδα	name	Maracanda; Samarkand, Uzbekistan
Μαράφιοι	noun	Maraphii, an ancient Iranian tribe mentioned by Herodotus
Μαρία	name	Mary, Maria
Μαραθήσιον	name	Marathesium, Ionia, Turkey
Μαραθών	name	Marathon, Attica, Greece
Μαρδόνιος	name	a male given name, Mardonius, from Old Persian father of Darius the Great's companion Gobryas who helped him overthrow Gaumata | a male given name, Mardonius, from Old Persian son of Gobryas and of a daughter of Darius the Great and grandson of the previous Μαρδόνιος, husband of Artazostre and father of Artontes, and brother-in-law and cousin of Xerxes I | a male given name, Mardonius, from Old Persian a bodyguard of Xerxes I killed at the Battle of Artemisium by a brother of Themistocles
Μαριανδυνοί	noun	Mariandyni, an ancient people of Bithynia
Μαρκίων	name	Marcion, a diminutive of the male given name Μᾶρκος (Mârkos), from Latin, particularly (historical) Marcion of Sinope, founder of Marcionism.
Μαρκιανός	name	Marcian, a name borne by an Emperor
Μαρμάριον	name	Marmarium, Euboea, Greece
Μαρσός	noun	one of the Marsi; a Marsian
Μαρσύας	name	Marsyas
Μαρώνεια	name	Maroneia (a city in Thrace, Greece)
Μαρῖνος	name	Generally | a male given name known from the ancient Roman and Byzantine Periods | a male given name known from inscriptions and papyri written during the Hellenistic and Roman Periods, particularly in Syria and Libya. | Specifically | the name of an author of a biography of Proclus, the Neoplatonist philosopher | the name of a poet whose poetry appears in the Greek Anthology, an anthology of ancient Greek elegiac poetry by various authors. | the name of a man mentioned in the Roman poet Martial's Epigrams 10, 83, 2.
Μασίστης	name	a male given name from Old Persian: Masistes, a Persian prince and son of Darius
Μασίστρης	name	a male given name, Masistres, from Old Persian, a Persian mentioned by Aeschylus
Μασκάμης	name	a male given name, Mascames, from Old Persian, a Persian commander
Μασσίκυτος	name	Massicytus, a mountain range of Lycia
Μασσαλία	name	Massalia (ancient Greek city and colony in modern southern France; modern Marseille)
Μασσαλιώτης	noun	Massaliot (native or inhabitant of Massalia, now Marseille, France) (usually male)
Μασσανάσσης	name	Masinissa or Massinissa
Ματθίας	name	(biblical, Christianity) a male given name from Hebrew, equivalent to English Matthias
Ματθαῖος	name	a male given name from Aramaic, equivalent to English Matthew (disciple of Jesus in Christianity)
Ματταθίας	name	(biblical, Judaism, Christianity) a male given name from Hebrew, Mattathias
Ματῆροι	noun	Materi, an ancient tribe of Sarmatia mentioned by Ptolemy
Μαυδάκα	name	a male given name from Old Persian, equivalent to English Maudaca
Μαυρίκιος	name	a male surname of historical usage, equivalent to English Maurice or Latin Mauricius, notably borne by Maurice (539–602 CE), Latin: Flāvius Tiberius Mauricius, Greek: Φλάβιος Τιβέριος Μαυρίκιος (Phlábios Tibérios Mauríkios); Roman Emperor who ruled the Byzantine Empire from 582 until deposed in 602, last Byzantine emperor of the Justinian imperial dynasty | a male given name, from the surname
Μαυρουσία	name	Maurusia, Mauretania (ancient Berber kingdom)
Μαυρούσιος	adj	Maurusian, Mauretanian
Μαυρούσιος	noun	an inhabitant of Maurusia or Mauretania; a Maurusian, a Mauretanian
Μαυσωλεῖον	name	Mausoleum (the grand tomb built around 353–351 BCE at Halicarnassus for Mausolus, a ruler of Caria and satrap of the Achaemenid Empire; one of the Seven Wonders of the Ancient World)
Μαχάων	name	Machaon
Μαχανίδας	name	a male given name, Machanidas
Μαϊμωνίδης	name	The Ancient Greek form of the surname of the medieval Sephardic Jewish philosopher Maimonides
Μαύης	name	a male given name, Maues, from Proto-Saka, an Indo-Scythian king
Μαύσωλος	name	a male given name from Carian: Mausolus or Maussolus
Μαῖα	name	Maia, daughter of Atlas
Μαῦρος	adj	Mauretanian, Moorish | (nominalized, masculine plural) Mauretanians, Moors
Μεγάβαζος	name	Megabazus
Μεγάβυζος	name	a male given name from Old Persian, equivalent to English Megabyzus
Μεγάβυξος	name	a male given name from Old Persian, equivalent to English Megabyxus
Μεγάλη Ἑλλάς	name	(history) Magna Graecia; Hellenic parts of southern Italy and Sicily extensively settled by Ancient Greek colonists in such vast numbers that the Ancient Romans came to refer to the region as Great Greece
Μεγάρα	name	Megara, wife of Heracles
Μεγαβάτης	name	a male given name from Old Persian, equivalent to English Megabates a cousin of Darius the Great, satrap of Dascylitis and father of Seisamas and Megabazos | a male given name from Old Persian, equivalent to English Megabates a commander of the Achaemenid fleet | a male given name from Old Persian, equivalent to English Megabates an inhabitant of Halicarnassus | a male given name from Old Persian, equivalent to English Megabates a son of the rebellious general Spithridates and lover of Agesilaus of Sparta | a male given name from Old Persian, equivalent to English Megabates a hyparch of king Artapates of Armenia | a male given name from Old Persian, equivalent to English Megabates a brother of Vardanes I
Μεγαδόστης	name	a male given name, Megadostes, from Old Persian, father of Mascames
Μεγακλῆς	name	a male given name, equivalent to English Megacles
Μεγαλοπολίτης	noun	an inhabitant of Megalopolis; a megalopolitan
Μεγαλόπολις	name	Megalopolis, Arcadia, Greece
Μεγαρίς	adj	pertaining to Megara
Μεγαρίς	name	Megaris or Megarid, the land around Megara
Μεγαρεύς	name	Megareus
Μεγαρεύς	noun	an inhabitant of Megara; a Megarian
Μεγαρικός	adj	Megaric, Megarian
Μεγασίδρης	name	a male given name from Old Persian, equivalent to English Megasidres father of Dotus
Μεγασθένης	name	a male given name, equivalent to English Megasthenes
Μεδεών	name	A city of Boeotia | a city in Acarnania
Μεδιόλανον	name	any one of the ancient Celtic and/or Roman settlements named Mediolanum | Mediolanum; Milan, Lombardy, Italy | Mediolanum; Whitchurch, Shropshire, England, United Kingdom | Mediolanum Santonum; Saintes, Charente-Maritime, France
Μεθυδριεύς	noun	an inhabitant of Methydrium
Μεθόδιος	name	(Koine) a male given name, equivalent to English Methodius
Μεθύδριον	name	Methydrium, a town in Arcadia
Μεθώνη	name	Methoni (a village in Peloponnese, Greece) | (historical) Methone (an ancient city near present-day Methoni in Peloponnese, Greece) | Methoni (a village in Central Macedonia, Greece) | (historical) Methone (an ancient city-state near present-day Methoni in Central Macedonia, Greece) | (historical) Methone (an ancient city-state near present-day Ano Lechonia in Thessaly, Greece) | (historical) Methone (former name of Μέθανα (Méthana) (= Methana): a city in Attica, Greece) | (Greek mythology) Methone (one of the Alkyonides)
Μειδίας	name	Meidias
Μειλίχιος	name	Meilichios (a divine epithet, frequently associated with Zeus)
Μελάγχλαινοι	noun	Melanchlaeni, a Scythian tribe mentioned by Herodotus
Μελάμπους	name	Melampus
Μελάνθιος	name	a male given name, equivalent to English Melanthius
Μελάνιππος	name	a male given name, Melanippus
Μελέαγρος	name	a male given name, Meleager
Μελέτη	name	Melete, Muse of meditation, one of the original three muses of Boeotia.
Μελέτιος	name	a male given name
Μελίβοια	name	Meliboea, Magnesia, Greece
Μελίτεια	name	Melitaea, Phthiotis, Greece
Μελίτη	name	Malta (an island in the Mediterranean Sea, Malta) | Mdina (a city on the island of Malta, Malta) | Mljet (an island in the Adriatic Sea, Croatia)
Μελανίππη	name	a female given name, Melanippe
Μελανθώ	name	a female given name, equivalent to English Melantho
Μελιτηνή	name	Melitene (ancient city of Cappadocia; modern Malatya in Malatya Province, Turkey).
Μελπομένη	name	Melpomene, muse of singing and later of tragedy
Μελχίτης	noun	a Melchite
Μελχισεδέκ	name	Melchizedek, a biblical character
Μεμφιβοσθέ	name	Mephibosheth
Μενέδημος	name	a male given name, Menedemus
Μενέλαος	name	(Epic) a male given name, Menelaus
Μενέξενος	name	a male given name, equivalent to English Menexenus
Μενέσαιχμος	name	a male given name, Menesaechmus
Μενήνιος	name	Menenius
Μεναί	name	Menae; Mineo, Italy
Μενεκράτης	name	a male given name, equivalent to English Menecrates
Μενοίτιος	name	(Greek mythology) the name of a titan | a male given name, Menoetius
Μενοικεύς	name	a male given name, equivalent to English Menoeceus
Μενοιτιάδης	name	son of Menoetius: patronym of Patroclus
Μενοστάνης	name	a male given name, Menostanes, from Old Persian, a Persian prince
Μερόη	name	Meroe, Nubia, Sudan
Μερόπη	name	(Greek mythology) Merope
Μεσημβρία	name	Mesembria; Nesebar, Bulgaria
Μεσοποταμία	name	(history) Mesopotamia (a geographic region in southwest Asia, spanning from the rivers Euphrates and Tigris, located in modern Iraq, eastern Syria, and southeast Turkey; the site of one of the most ancient civilizations in the history of man) | (history) Mesopotamia (a former province of the Roman Empire, existing from 116 to 117 AD and again from 198 to 637 AD)
Μεσορί	name	Mesore, the twelfth month of the Ancient Egyptian calendar, corresponding roughly to August
Μεσσάλας	name	Messala
Μεσσάπιος	noun	one of the Messapii; a Messapian
Μεσσήνη	name	Messene, Messenia, Greece | Messina, Sicily, Italy
Μεσσήνιος	adj	Messenian, of Messene
Μεσσίας	name	(biblical) Messiah or Christ; the Anointed one
Μεσσηνία	name	Messenia, Greece
Μεταγειτνιών	name	Metageitnion: the second month of the Attic calendar, corresponding to the lunar term around August and September
Μεταποντῖνος	noun	an inhabitant of Metapontum
Μεταπόντιον	name	Metapontum, Magna Graecia; Metaponto, Basilicata, Italy
Μεταπόντιος	noun	an inhabitant of Metapontum
Μεχείρ	name	Mecheir, the sixth month of the Ancient Egyptian calendar, corresponding roughly to February
Μηδία	name	Media (a geographic region and ancient satrapy of the Persian Empire in northwestern Iran, originally inhabited by the Medes) | Media (a possible ancient kingdom ruled by the Medes from approximately 700 to 550 BCE, whose extent and sometimes even existence is debated)
Μηδικός	adj	Median (from Media; pertaining to the Medes)
Μηκιστεύς	name	(Greek mythology) Mecisteus, son of Talaus, brother of Adrastus and father of Euryalus | (Greek mythology) Mecisteus, companion of Antilochus, slain by Polidamas
Μηλία	noun	(substantive) a female Melian
Μηλίς	name	Malis
Μηλιεύς	noun	a Malian | an inhabitant of Malis
Μηλινόη	name	Melinoe
Μηριόνης	name	(Greek mythology) Meriones (hero of the Trojan War)
Μητίων	name	(Greek mythology) Metion, the son of king Erechtheus
Μητρόδωρος	name	a male given name, Metrodorus
Μητρῷον	noun	temple of Demeter (Ceres)
Μιθράτης	name	a male given name, Mithrates, from Old Median
Μιθραβαυζάνης	name	a male given name, Mithrabauzanes, from Old Persian
Μιθραδάτης	name	a male given name, Mithradates, from Old Persian, equivalent to English Mithradates
Μιθραφέρνης	name	a male given name from Old Persian Mithraphernes a eunuch of Artaeus of Media
Μιθραύστης	name	a male given name, Mithraustes, from Old Persian, commander of the Armenian soldiers in the Achaemenid army at the Battle of Gaugamela
Μιθραῖος	name	a male given name, Mithraeus, from Old Persian
Μιθριακός	adj	Of or pertaining to Mithras: Mithraic
Μιθριδάτης	name	a male given name, Mithridates, from Old Median, equivalent to English Mithridates
Μιθροβαρζάνης	name	a male given name, Mithrobarzanes, from Old Persian father-in-law and betrayer of Datames | a male given name, Mithrobarzanes, from Old Persian a Persian Magian in Babylon | a male given name, Mithrobarzanes, from Old Persian commander in Tigranes the Great's army against Lucullus at the Battle of Tigranocerta in 69 BCE
Μιθροβαυζάνης	name	a male given name, Mithrobauzanes, from Old Persian
Μιθροπαύστης	name	a male given name, Mithropaustes, from Old Persian, a cousin of Xerxes I
Μιθρωπάστης	name	a male given name, Mithropastes, from Old Persian, son the satrap Arsites
Μιθρώστης	name	a male given name, Mithrostes, from Old Persian, son of the satrap Hidarnes III executed under the orders of Parysatis
Μικιάδης	name	a male given name
Μιλήσιος	adj	of Miletus
Μιλήσιος	noun	citizen of Miletus
Μιλτιάδης	name	Miltiades
Μινναγάρ	name	a city in India, or Pakistan
Μινούκιος	name	Minucius
Μιντούρνη	name	Minturnae, Latium; Minturno, Lazio, Italy
Μινύης	noun	one of the Minyae; a minyan
Μινώα	name	Minoan civilization
Μινώταυρος	name	Minotaur
Μινῴα	name	Minoa, Sicily, Italy | Minoa, Crete, Greece | Minoa, Gaza, Palestine
Μισηνόν	name	Misenum, Campania, Italy
Μιτράνης	name	a male given name, Mitranes, from Old Median
Μιτραδάτης	name	a male given name, Mitradates, from Old Persian, equivalent to English Mitradates, a Median shepherd and foster father of Cyrus the Great
Μιτραῖος	name	a male given name, Mitraeus, from Old Persian
Μιτροβάτης	name	a male given name from Old Median: Mitrobates a satrap of Hellespontine Phrygia | a male given name from Old Median: Mitrobates a civil servant for Pharnabazus
Μιχαήλ	name	a Judeo-Christian male given name from Hebrew, equivalent to English Michael, famously held by Μιχαήλ Αρχάγγελος (Mikhaḗl Arkhángelos, “Archangel Michael”)
Μιχαίας	name	Micah (prophet) | Book of Micah
Μνήσαρχος	name	a male given name, Mnesarchus
Μναῖος	name	a male given name
Μνεῦις	name	(religion) Mnevis, a bull-shaped aspect of the god Atum-Ra venerated in Heliopolis
Μνημοσύνη	name	(Greek mythology) Mnemosyne, mother of the Muses
Μνησάλκης	name	Mnesalces, an Armenian man mentioned by Plutarch
Μνῆσος	name	(Greek mythology) Mnesus, a Paeonian slain by Achilles
Μοδόκαι	noun	Modocae, a tribe of Sarmatia mentioned by Ptolemy
Μοισία	name	Moesia
Μολίων	name	a male given name
Μολοσσία	name	Molossia
Μολοσσός	name	(Greek mythology) Molossus (son of Neoptolemus and Andromache)
Μολοσσός	noun	a Molossian (inhabitant of Molossia)
Μολύκρειον	name	Molycreum; Molykreio, Aetolia-Acarnania, Greece
Μοναίσης	name	a male given name, Monaeses, from Parthian, a Parthian nobleman
Μονεμβασία	name	Monemvasia (a town in Laconia, Greece)
Μοννήσης	name	a male given name, Monneses, from Parthian, a Parthian nobleman
Μονομάχος	name	a male surname, equivalent to Latin Monomachus or English Monomachos
Μοργαντίνη	name	Morgantia, Sicily, Italy
Μορμώ	name	Mormo, a monstrous spectre in Greek mythology, used as a bogey to frighten children
Μορφεύς	name	(Greek mythology) Morpheus
Μοσσύνοικοι	noun	Mossynoeci, a tribe of Pontus
Μοτύη	name	Motya; Mozia, Sicily, Italy
Μοτύκα	name	(toponym) The name of an ancient city of Sicily (now Modica).
Μουάμεδ	name	(Byzantine) Muhammad
Μουγούλιος	noun	a Mongol; a Mongolian
Μουνυχία	name	Munychia, Piraeus, Attica, Greece
Μουνυχιών	name	Munychion: the tenth month of the Attic calendar, corresponding to the lunar term around April and May
Μουριανή	name	Muriane (one of the four ancient districts of Cataonia in Lesser Armenia in modern-day Turkey, mentioned only by Ptolemy)
Μουρρήνας	name	a member of the Murena family
Μουσαῖος	name	a male given name, equivalent to English Musaeus
Μουσεῖον	name	the shrine of the Muses, the seat or haunt of the Muses | the Museum (a hill at Athens) | as the title of a book
Μουσηγέτης	name	(Greek mythology) Epithet of Apollo
Μούζιρις	name	Muziris; Kodungallur, India
Μούνδος	name	Mundus; Heis, Somalia
Μοῖρα	name	one of the Moirae; one of the Fates in Greek mythology
Μοῖρις	name	Lake Moeris, Egypt | the town of Moeris near Crocodilopolis (modern Faiyum)
Μοῦσα	name	Muse
Μυγδονία	name	Mygdonia, Macedonia, Greece
Μυκάλη	name	Mycale
Μυκήνη	name	(Greek mythology) Mycene (daughter of Inachus, king of Argos)
Μυκαλησσός	name	Mycalessus
Μυκερῖνος	name	Mycerinus (Menkaure, Menkheres), an ancient Egyptian king
Μυκηναῖος	adj	Mycenaean
Μυκηναῖος	noun	Mycenaean
Μυκῆναι	name	Mycenae
Μυλαί	name	Mylae, Sicily, Italy
Μυοῦς	name	Myus, a city in Ionia
Μυρίανδρος	name	Myriandrus, Syria, Turkey
Μυρμήκειον	name	Myrmecium, Scythia, Russia
Μυρμιδών	noun	a Myrmidon; one of a mythical tribe of warriors led by Achilles in the Trojan War
Μυρσίλος	name	Greek name of the Lydian king Candaules | tyrant of Mytilene
Μυρτίλος	name	(Greek mythology) Myrtilus
Μυρτώ	name	a female given name
Μυρωνίδης	name	Myronides
Μυσία	name	Mysia
Μυσός	noun	a Mysian | an inhabitant of Mysia
Μυτιλήνη	name	the city of Mytilene, in Lesbos, Greece | the island, Lesbos
Μυτιληναῖος	adj	Mytilenean, of or from Mytilene
Μωαβίτης	noun	Moabite
Μωαβῖτις	noun	a female inhabitant of Moab; a Moabite woman, a Moabitess
Μωυσῆ	name	genitive/vocative singular of Μωυσῆς (Mōusês)
