lemma	pos	def
-η	suffix	suffix of feminine nouns in the first declension added to masculine or neuter nouns to give a feminine form | suffix of feminine nouns in the first declension added to verbal stems ending in a consonant to form an action noun added to the o-grade of the verbal stem | suffix of feminine nouns in the first declension added to verbal stems ending in a consonant to form an action noun added to the zero-grade of the verbal stem | suffix of feminine nouns in the first declension added to verbal stems ending in a consonant to form an action noun added to the e-grade of the verbal stem
-ηγός	suffix	creates compound nouns with the meaning of -leader, -guide, -driver
-ηδόν	suffix	indicating a direction
-ηνός	suffix	added to place names to form an adjective: -ian, -ese
-ηρός	suffix	Used to form adjectives, -y.
-ης	suffix	forms third-declension adjectives with stems in -εσ- (-es-); very common in compounds
-ης	suffix	forms third-declension proper nouns
-ησθε	suffix	second-person plural present middle/passive subjunctive of -ω (-ō)
-ηται	suffix	third-person singular present middle/passive subjunctive of -ω (-ō)
-θήκη	suffix	deverbal suffix, typically indicating a space in which things are put or stored
-θα	suffix	Added to stems to form demonstratives: to, toward
-θείς	suffix	creates passive aorist participles
-θεν	suffix	Added to nouns to form adverbs of place from which: from; also used, like genitive, with prepositions
-θερμος	combining_form	Combining form used in adjectives of temperature
-θην	suffix	The passive aorist and passive future suffix
-θι	suffix	Added to nouns to form adverbs of location: at, in, on
-θρον	suffix	forms instrument nouns
-θω	suffix	(no longer productive) used to form verbs
-ιά	suffix	forms nouns denoting a place
-ια	suffix	added to the stems of adjectives and nouns in -ῠ́ς (-ŭ́s) and -εύς (-eús) to form the feminine gender | added to the stems of adjectives in -ής (-ḗs) to form abstract nouns
-ιανός	suffix	used to form relational adjectives, especially from proper nouns
-ικός	suffix	Added to noun stems to form adjectives: of or pertaining to, in the manner of; -ic
-ιλος	suffix	A noun-forming suffix, often forming nouns denoting concrete objects.
-ιμος	suffix	Added to the stems of verbs or verbal nouns in -σις (-sis) to form an adjective of possibility or capability: -able, -ible, -like, -ed
-ινα	suffix	Added to masculine or neuter nouns to give a feminine form.
-ινος	suffix	added to nouns or adverbs to form adjectives relating to material, time, and so on: made of, during the time of | (with long ῑ) Forms adjectives of place: -ine
-ιον	suffix	termination of neuter substantivations of adjectives in -ῐος (-ĭos, “belonging to”, also forms parasynthetic compounds) | forms diminutive nouns | forms toponyms (names for places)
-ιος	suffix	Suffix added to nouns or adjectives, forming adjectives: pertaining to, belonging to ("of"). Often added to a combination of preposition and noun (parasynthesis)
-ις	suffix	Forms feminine nouns, or feminine forms of adjectives (often accented on the ultima) | Suffix added to a father's name to form a feminine patronymic: daughter of
-ισμός	suffix	Forms abstract nouns describing a condition or doctrine.
-ισσα	noun	femininizes masculine nouns in the first declension
-ιστί	suffix	appended to names of peoples to denote speaking in their language or dialect
-ιστα	suffix	Superlative adverb suffix.
-ιστος	suffix	Added to some adjectives to form a superlative adjective
-κα	suffix	The active perfect suffix, also used in kappatic aorists
-κλῆς	suffix	An element found in given names.
-κρατία	suffix	-cracy (government, rule)
-κρατικός	suffix	-cratic
-κτόνος	suffix	-cidal; added to nouns to form an adjective indicating a killing agent for the first noun
-κτόνος	suffix	added to nouns to form an adjective indicating a killing agent for the first noun
-κός	suffix	forms adjectives with the sense of 'of or pertaining to', 'in the manner of'
-λάτρης	suffix	-later (server, to be subject, to serve gods)
-λλω	suffix	A suffix forming the present stem of some verbs from stems in the consonant λ (l)
-λογία	suffix	Base for nouns denoting the study of something, or the branch of knowledge of a discipline.
-λόγος	suffix	denoting a student of or specialist in a field; -logist
-μα	suffix	Added to verbal stems to form neuter nouns denoting the effect or result of an action, a particular instance of an action, or the object of an action
-μενος	suffix	Added to tense stems of verbs to form middle, passive, and mediopassive participles present mediopassive like λῡόμενος (lūómenos) | Added to tense stems of verbs to form middle, passive, and mediopassive participles future middle and passive like λῡσόμενος (lūsómenos), λῠθησόμενος (lŭthēsómenos) | Added to tense stems of verbs to form middle, passive, and mediopassive participles aorist middle like λῡσᾰ́μενος (lūsắmenos) | Added to tense stems of verbs to form middle, passive, and mediopassive participles perfect mediopassive like λελῠμένος (lelŭménos) → see -μένος (-ménos)
-μετρία	suffix	forms nouns pertaining to measurement: -metry
-μη	suffix	suffix forming action/result nouns from verb stems
-μι	suffix	ending of the first-person singular athematic present
-μων	suffix	Forms agent nouns and adjectives.
-μός	suffix	Forms abstract nouns.
-ν	suffix	The accusative-singular inflection of nouns, adjectives, and some pronouns in the first and second declensions, and of some third-declension nouns
-νος	suffix	Added to roots or words to form adjectives or nouns; often accented on the ultima
-νυμι	suffix	suffix forming transitive verbs
-νω	suffix	primitive suffix used to form present-tense stems
-νός	suffix	accented form of -νος (-nos)
-ο-	interfix	Used to form compounds.
-οίμεθα	suffix	first-person plural present middle/passive optative of -ω (-ō)
-οίμην	suffix	first-person singular present middle/passive optative of -ω (-ō)
-οιντο	suffix	third-person plural present middle/passive optative of -ω (-ō)
-οιο	suffix	second-person singular present middle/passive optative of -ω (-ō)
-οισθε	suffix	second-person plural present middle/passive optative of -ω (-ō)
-οιτο	suffix	third-person singular present middle/passive optative of -ω (-ō)
-ομαι	suffix	Marks the first person singular present mediopassive indicative of non-deponent verbs and the first person singular present active indicative of deponent verbs
-ομεν	suffix	first-person plural present/imperfect active indicative of -ω (-ō)
-ος	suffix	Added to verbal roots to form an o-grade action noun.
-ος	suffix	Forms compound adjectives. From a compound verb. Accent recessive; the verbal root may show ablaut. | Forms compound adjectives. From a prepositional phrase. Accent recessive. | Forms compound adjectives. From nominal or adverbial elements expressing a characteristic or attribute. Accent recessive. | Forms compound adjectives. The second component is verbal, the first component functioning as its object. Accent usually paroxytone. Such adjectives are often substantivized.
-ος	suffix	Added to verbal roots to form a noun of result or an abstract noun of action. Added to the zero-grade. | Added to verbal roots to form a noun of result or an abstract noun of action. Added to the e-grade.
-ουργός	suffix	creates compound nouns or adjectives with the meaning of -worker, -maker, -wright
-οψία	suffix	sight, view: -opsia, -opsy
-ούσιος	suffix	forms relational adjectives: of or pertaining to
-οῦς	suffix	-ful
-οῦσι	suffix	Marks the third person plural present active indicative of non-deponent contracted verbs
-οῦσιν	suffix	Marks the third person plural present active indicative of non-deponent contracted verbs; variant of -οῦσι with movable nu
-πετής	suffix	Forms adjectives: one who falls from, where, or in the way the first combining form denotes
-πλάσιος	suffix	-fold (used to make adjectives meaning ‘times’)
-πλόος	suffix	Forms an adjective indicating repetition or multiplication: -fold
-πτω	suffix	A suffix forming the present stem of some verbs from stems in the consonant π (p)
-πώλης	suffix	seller, monger
-ρός	suffix	-able, tending to be X'ed (for a verb X); a suffix generally deriving adjectives from verbal stems.
-ς	suffix	suffix of nouns in the third declension.
-ς	suffix	suffix added to some masculine foreign names to make them declinable
-σα	suffix	The first aorist suffix, causing the preceding vowel to be lengthened.
-σε	suffix	Added to words to form adverbs of direction: to, toward
-σις	suffix	Added to verb stems to form abstract nouns or nouns of action, process, or result
-σκω	suffix	Primitive suffix used to form present-tense stems, very rarely associated with the inchoative meaning of becoming | (Epic) Suffix used to form the imperfect tense of many verbs
-σσω	suffix	A suffix forming the present stem of some verbs from stems in the consonants τ, θ, κ, χ, γ (t, th, k, kh, g)
-σω	suffix	The future suffix: applied to the bare stem, causing a lengthening of the vowel (with alpha becoming eta). | (rare) The future perfect suffix: applied to the perfect stem without personal endings, the tense is rarely attested to begin with and it is unknown if a future perfect passive would use -θ or not.
-σύνη	suffix	Forms abstract nouns from adjectives or nouns
-τέος	suffix	creates verbal adjectives of necessity, either active or passive (accented on the penultima)
-τήρ	suffix	Added to verb stems to form masculine agent nouns
-τήριος	suffix	Added to verb stems to form adjectives pertaining to the stem
-τής	suffix	Appended to verbs to form agent nouns With -ίζω (-ízō) verbs: | Appended to verbs to form agent nouns With -άζω (-ázō) verbs: | Appended to verbs to form agent nouns With -όζω (-ózō) verbs: | Appended to verbs to form agent nouns With -ύζω (-úzō) verbs:
-τας	suffix	forms nouns representing a state of being
-τας	suffix	Added to noun stems to form masculine nouns of the person concerned with a thing | Added to verb stems to form masculine agent nouns: -er | Added to place names to form masculine demonyms: -ian
-τατος	suffix	Added to adjective stems to form superlative forms
-τειρα	suffix	used to form feminine agent nouns
-τερος	suffix	Used on adjectives that express some notion of contrast with an antonym | Added to adjective stems to form comparative forms
-της	suffix	forms abstract nouns denoting a quality or property (i.e. a “state of being”)
-της	suffix	Added to noun stems to form masculine nouns of the person concerned with a thing | Added to verb stems to form masculine agent nouns: -er | Added to place names to form masculine demonyms: -ian
-τικός	suffix	Added to verbal stems to form adjectives: relating to, suited to, skilled in, able to, -ive | Added to other stems to form adjectives, particularly those ending in vowels
-τις	suffix	Earlier form of -σῐς (-sĭs), retained after dentals δ, θ, σ, τ
-τος	suffix	Creates perfective passive verbal adjectives (usually accented recessively) | Forms adjectives from nouns (accented recessively) | Forms ordinal and fractional numerals (also with accent on the ultima)
-τρια	suffix	forms feminine agent nouns
-τρις	suffix	Added to verb stems to form feminine agent nouns. Usually accented on the ultima.
-τρον	suffix	forms instrument nouns
-τροπία	suffix	turn, direction | way, manner | habit, custom
-τυπία	suffix	Forms feminine abstract nouns indicating printing processes.
-τωρ	suffix	used to form agent nouns
